Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,New Listings,New Listings MoM,New Listings YoY,Inventory,Inventory MoM,Inventory YoY,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM,Average Sale To List YoY
30080,5/1/2015,"$237,000",0.60%,8.70%,298,27.90%,8.80%,361,10.10%,-8.60%,304,3.40%,0.00%,50,-12,15,97.60%,0.10%,-0.60%
30080,6/1/2015,"$230,000",-3.00%,2.00%,337,13.10%,17.00%,382,5.80%,-2.30%,304,0.00%,-3.80%,51,1,15,97.80%,0.10%,-0.30%
30080,7/1/2015,"$235,000",2.20%,0.00%,349,3.60%,10.10%,397,3.90%,-2.90%,318,4.60%,-8.40%,42,-9,10,97.80%,0.00%,0.00%
30080,8/1/2015,"$237,000",0.90%,3.50%,337,-3.40%,9.80%,395,-0.50%,9.10%,317,-0.30%,-1.20%,44,2,14,97.80%,0.10%,0.80%
30080,9/1/2015,"$242,000",1.90%,18.00%,327,-3.00%,7.20%,382,-3.30%,19.40%,315,-0.60%,12.10%,45,2,13,97.80%,0.00%,1.00%
30080,10/1/2015,"$246,000",1.90%,27.80%,317,-3.10%,15.70%,366,-4.20%,31.70%,330,4.80%,22.20%,50,5,9,97.80%,0.00%,0.70%
30080,11/1/2015,"$251,000",2.00%,14.60%,266,-16.10%,1.90%,296,-19.10%,16.50%,281,-14.80%,5.20%,49,-1,-4,97.90%,0.10%,0.10%
30080,12/1/2015,"$265,000",5.60%,17.30%,272,2.30%,7.90%,254,-14.20%,11.40%,247,-12.10%,-7.10%,55,6,-5,98.00%,0.10%,-0.10%
30080,1/1/2016,"$265,000",0.00%,17.30%,226,-16.90%,8.10%,204,-19.70%,-13.90%,242,-2.00%,-16.30%,56,1,-7,98.10%,0.10%,-0.20%
30080,2/1/2016,"$262,000",-1.30%,16.10%,240,6.20%,27.70%,268,31.40%,2.70%,272,12.40%,-8.70%,64,8,-11,98.00%,0.00%,0.30%
30080,3/1/2016,"$251,000",-4.00%,6.80%,234,-2.50%,29.30%,353,31.70%,14.20%,298,9.60%,-5.40%,56,-8,-11,97.90%,-0.10%,0.30%
30080,4/1/2016,"$265,000",5.60%,12.50%,278,18.80%,19.30%,461,30.60%,40.50%,349,17.10%,18.70%,48,-8,-14,98.10%,0.20%,0.70%
30080,5/1/2016,"$272,000",2.60%,14.80%,324,16.50%,8.70%,454,-1.50%,25.80%,340,-2.60%,11.80%,43,-6,-8,97.90%,-0.20%,0.30%
30080,6/1/2016,"$282,000",3.70%,22.60%,339,4.60%,0.60%,434,-4.40%,13.60%,343,0.90%,12.80%,39,-4,-12,97.90%,0.00%,0.10%
30080,7/1/2016,"$273,000",-3.20%,16.20%,369,8.80%,5.70%,363,-16.40%,-8.60%,336,-2.00%,5.70%,42,3,0,97.70%,-0.20%,-0.10%
30080,8/1/2016,"$270,000",-1.10%,13.90%,357,-3.30%,5.90%,363,0.00%,-8.10%,300,-10.70%,-5.40%,41,-1,-3,97.90%,0.30%,0.10%
30080,9/1/2016,"$263,000",-2.60%,8.90%,347,-2.80%,6.10%,344,-5.20%,-9.90%,307,2.30%,-2.50%,45,4,0,98.20%,0.30%,0.40%
30080,10/1/2016,"$261,000",-0.80%,6.10%,301,-13.30%,-5.00%,330,-4.10%,-9.80%,289,-5.90%,-12.40%,47,2,-3,98.40%,0.20%,0.60%
30080,11/1/2016,"$259,000",-0.80%,3.20%,305,1.30%,14.70%,284,-13.90%,-4.10%,251,-13.10%,-10.70%,57,10,8,98.40%,0.00%,0.50%
30080,12/1/2016,"$260,000",0.40%,-1.90%,296,-3.00%,8.80%,229,-19.40%,-9.80%,225,-10.40%,-8.90%,60,3,5,98.40%,0.00%,0.40%
30080,1/1/2017,"$259,000",-0.40%,-2.30%,279,-5.70%,23.50%,248,8.30%,21.60%,243,8.00%,0.40%,54,-6,-2,98.20%,-0.20%,0.10%
30080,2/1/2017,"$267,000",3.10%,2.10%,231,-17.20%,-3.80%,282,13.70%,5.20%,231,-4.90%,-15.10%,52,-2,-12,98.00%,-0.20%,0.00%
30080,3/1/2017,"$269,000",0.70%,7.20%,253,9.50%,8.10%,388,37.60%,9.90%,265,14.70%,-11.10%,41,-11,-15,97.80%,-0.20%,-0.10%
30080,4/1/2017,"$270,000",0.40%,1.90%,292,15.40%,5.00%,436,12.40%,-5.40%,306,15.50%,-12.30%,38,-3,-10,98.00%,0.10%,-0.20%
30080,5/1/2017,"$284,000",5.20%,4.40%,371,27.10%,14.50%,476,9.20%,4.80%,313,2.30%,-7.90%,34,-4,-9,98.30%,0.30%,0.40%
30080,6/1/2017,"$278,000",-2.30%,-1.60%,372,0.30%,9.70%,452,-5.00%,4.10%,326,4.20%,-5.00%,33,-1,-6,98.40%,0.10%,0.50%
30080,7/1/2017,"$300,000",8.10%,9.90%,381,2.40%,3.30%,442,-2.20%,21.80%,343,5.20%,2.10%,36,3,-6,98.60%,0.20%,1.00%
30080,8/1/2017,"$278,000",-7.50%,2.80%,370,-2.90%,3.60%,438,-0.90%,20.70%,337,-1.70%,12.30%,38,2,-3,98.40%,-0.20%,0.50%
30080,9/1/2017,"$278,000",0.00%,5.50%,344,-7.00%,-0.90%,394,-10.00%,14.50%,334,-0.90%,8.80%,40,2,-5,98.10%,-0.20%,-0.10%
30080,10/1/2017,"$277,000",-0.20%,6.10%,336,-2.30%,11.60%,332,-15.70%,0.60%,286,-14.40%,-1.00%,38,-2,-9,98.10%,-0.10%,-0.30%
30080,11/1/2017,"$290,000",4.80%,12.10%,292,-13.10%,-4.30%,268,-19.30%,-5.60%,253,-11.50%,0.80%,42,4,-16,97.90%,-0.20%,-0.50%
30080,12/1/2017,"$315,000",8.40%,21.00%,292,0.00%,-1.40%,226,-15.70%,-1.30%,227,-10.30%,0.90%,46,5,-14,98.00%,0.10%,-0.40%
30080,1/1/2018,"$312,000",-0.80%,20.40%,258,-11.60%,-7.50%,246,8.80%,-0.80%,227,0.00%,-6.60%,54,8,0,97.80%,-0.20%,-0.40%
30080,2/1/2018,"$280,000",-10.20%,4.90%,260,0.80%,12.60%,292,18.70%,3.50%,219,-3.50%,-5.20%,54,-1,2,97.90%,0.10%,-0.10%
30080,3/1/2018,"$275,000",-1.80%,2.20%,277,6.50%,9.50%,395,35.30%,1.80%,221,0.90%,-16.60%,34,-20,-7,98.00%,0.10%,0.10%
30080,4/1/2018,"$290,000",5.40%,7.40%,340,22.70%,16.40%,425,7.60%,-2.50%,230,4.10%,-24.80%,26,-8,-12,98.40%,0.50%,0.50%
30080,5/1/2018,"$310,000",6.90%,9.20%,387,13.80%,4.30%,441,3.80%,-7.40%,241,4.80%,-23.00%,20,-6,-14,98.70%,0.30%,0.40%
30080,6/1/2018,"$327,000",5.60%,18.00%,370,-4.40%,-0.50%,418,-5.20%,-7.50%,272,12.90%,-16.60%,18,-2,-15,98.80%,0.10%,0.40%
30080,7/1/2018,"$336,000",2.60%,12.00%,350,-5.40%,-8.10%,382,-8.60%,-13.60%,267,-1.80%,-22.20%,20,2,-16,98.70%,-0.10%,0.10%
30080,8/1/2018,"$336,000",0.00%,21.10%,313,-10.60%,-15.40%,380,-0.50%,-13.20%,268,0.40%,-20.50%,27,7,-11,98.50%,-0.20%,0.10%
30080,9/1/2018,"$325,000",-3.30%,17.10%,305,-2.60%,-11.30%,341,-10.30%,-13.50%,260,-3.00%,-22.20%,30,3,-10,98.40%,-0.10%,0.30%
30080,10/1/2018,"$320,000",-1.50%,15.50%,291,-4.60%,-13.40%,357,4.70%,7.50%,269,3.50%,-5.90%,32,2,-6,98.30%,-0.10%,0.20%
30080,11/1/2018,"$324,000",1.10%,11.50%,278,-4.50%,-4.80%,275,-23.00%,2.60%,227,-15.60%,-10.30%,32,0,-10,98.40%,0.00%,0.50%
30080,12/1/2018,"$335,000",3.60%,6.50%,254,-8.60%,-13.00%,224,-18.50%,-0.90%,216,-4.80%,-4.80%,39,7,-7,98.20%,-0.20%,0.20%
30080,1/1/2019,"$337,000",0.60%,8.00%,197,-22.40%,-23.60%,222,-0.90%,-9.80%,237,9.70%,4.40%,45,6,-9,97.90%,-0.30%,0.10%
30080,2/1/2019,"$315,000",-6.50%,12.50%,187,-5.10%,-28.10%,283,27.50%,-3.10%,246,3.80%,12.30%,46,1,-8,97.90%,0.00%,0.00%
30080,3/1/2019,"$328,000",4.10%,19.30%,217,16.00%,-21.70%,363,28.30%,-8.10%,257,4.50%,16.30%,39,-7,5,98.10%,0.20%,0.10%
30080,4/1/2019,"$306,000",-6.90%,5.40%,278,28.10%,-18.20%,390,7.40%,-8.20%,264,2.70%,14.80%,22,-17,-4,98.50%,0.40%,0.10%
30080,5/1/2019,"$311,000",1.90%,0.50%,314,12.90%,-18.90%,414,6.20%,-6.10%,270,2.30%,12.00%,22,0,2,98.50%,0.00%,-0.20%
30080,6/1/2019,"$318,000",2.00%,-3.00%,336,7.00%,-9.20%,400,-3.40%,-4.30%,267,-1.10%,-1.80%,21,-1,3,98.60%,0.10%,-0.20%
30080,7/1/2019,"$324,000",2.10%,-3.50%,352,4.80%,0.60%,380,-5.00%,-0.50%,272,1.90%,1.90%,28,7,8,98.50%,0.00%,-0.20%
30080,8/1/2019,"$335,000",3.30%,-0.30%,341,-3.10%,8.90%,396,4.20%,4.20%,299,9.90%,11.60%,28,0,1,98.70%,0.10%,0.20%
30080,9/1/2019,"$324,000",-3.40%,-0.50%,320,-6.20%,4.90%,384,-3.00%,12.60%,306,2.30%,17.70%,29,1,-1,98.50%,-0.10%,0.10%
30080,10/1/2019,"$334,000",3.20%,4.40%,296,-7.50%,1.70%,387,0.80%,8.40%,330,7.80%,22.70%,27,-2,-5,98.20%,-0.30%,-0.10%
30080,11/1/2019,"$336,000",0.60%,3.80%,269,-9.10%,-3.20%,324,-16.30%,17.80%,302,-8.50%,33.00%,29,2,-3,97.90%,-0.30%,-0.40%
30080,12/1/2019,"$350,000",4.10%,4.30%,282,4.80%,11.00%,279,-13.90%,24.60%,263,-12.90%,21.80%,33,4,-6,98.00%,0.00%,-0.20%
30080,1/1/2020,"$313,000",-10.40%,-7.10%,242,-14.20%,22.80%,238,-14.70%,7.20%,247,-6.10%,4.20%,45,12,0,97.80%,-0.10%,-0.10%
30080,2/1/2020,"$295,000",-5.80%,-6.30%,251,3.70%,34.20%,258,8.40%,-8.80%,251,1.60%,2.00%,51,6,5,98.20%,0.40%,0.30%
30080,3/1/2020,"$293,000",-0.70%,-10.70%,237,-5.60%,9.20%,335,29.80%,-7.70%,272,8.40%,5.80%,59,9,20,98.50%,0.30%,0.40%
30080,4/1/2020,"$325,000",10.80%,6.20%,272,14.80%,-2.20%,364,8.70%,-6.70%,282,3.70%,6.80%,41,-18,19,99.00%,0.50%,0.50%
30080,5/1/2020,"$335,000",3.10%,7.50%,272,0.00%,-13.40%,351,-3.60%,-15.20%,245,-13.10%,-9.30%,27,-14,5,98.90%,-0.10%,0.40%
30080,6/1/2020,"$349,000",4.40%,10.00%,282,3.70%,-16.10%,352,0.30%,-12.00%,233,-4.90%,-12.70%,24,-3,3,98.70%,-0.20%,0.10%
30080,7/1/2020,"$335,000",-4.10%,3.30%,349,23.80%,-0.90%,375,6.50%,-1.30%,233,0.00%,-14.30%,26,2,-2,98.50%,-0.20%,0.00%
30080,8/1/2020,"$330,000",-1.50%,-1.50%,382,9.50%,12.00%,395,5.30%,-0.30%,202,-13.30%,-32.40%,27,1,-1,98.60%,0.10%,0.00%
30080,9/1/2020,"$344,000",4.20%,6.30%,389,1.80%,21.60%,374,-5.30%,-2.60%,179,-11.40%,-41.50%,24,-3,-5,98.80%,0.20%,0.30%
30080,10/1/2020,"$367,000",6.70%,9.90%,363,-6.70%,22.60%,372,-0.50%,-3.90%,200,11.70%,-39.40%,21,-3,-6,99.00%,0.20%,0.80%
30080,11/1/2020,"$372,000",1.30%,10.70%,360,-0.80%,33.80%,343,-7.80%,5.90%,173,-13.50%,-42.70%,21,0,-8,99.10%,0.10%,1.20%
30080,12/1/2020,"$367,000",-1.40%,4.90%,359,-0.30%,27.30%,303,-11.70%,8.60%,148,-14.50%,-43.70%,22,1,-11,99.10%,0.00%,1.10%
30080,1/1/2021,"$365,000",-0.40%,16.60%,312,-13.10%,28.90%,260,-14.20%,9.20%,118,-20.30%,-52.20%,25,3,-21,98.80%,-0.30%,1.00%
30080,2/1/2021,"$365,000",0.00%,23.70%,303,-2.90%,20.70%,277,6.50%,7.40%,110,-6.80%,-56.20%,26,2,-25,99.00%,0.20%,0.80%
30080,3/1/2021,"$367,000",0.40%,25.10%,312,3.00%,31.60%,313,13.00%,-6.60%,84,-23.60%,-69.10%,22,-4,-37,99.40%,0.50%,1.00%
30080,4/1/2021,"$375,000",2.30%,15.60%,347,11.20%,27.60%,367,17.30%,0.80%,105,25.00%,-62.80%,18,-4,-23,100.30%,0.80%,1.30%
30080,5/1/2021,"$392,000",4.50%,17.10%,361,4.00%,32.70%,395,7.60%,12.50%,117,11.40%,-52.20%,13,-5,-14,100.90%,0.60%,2.00%
30080,6/1/2021,"$400,000",2.00%,14.50%,375,3.90%,33.00%,418,5.80%,18.80%,114,-2.60%,-51.10%,13,0,-11,101.00%,0.10%,2.30%
30080,7/1/2021,"$402,000",0.60%,20.10%,388,3.50%,11.20%,403,-3.60%,7.50%,124,8.80%,-46.80%,12,-1,-14,101.10%,0.10%,2.60%
30080,8/1/2021,"$395,000",-1.90%,19.70%,385,-0.80%,0.80%,398,-1.20%,0.80%,146,17.70%,-27.70%,12,0,-15,101.00%,-0.10%,2.40%
30080,9/1/2021,"$401,000",1.40%,16.40%,346,-10.10%,-11.10%,377,-5.30%,0.80%,150,2.70%,-16.20%,12,0,-12,101.10%,0.10%,2.30%
30080,10/1/2021,"$411,000",2.60%,12.00%,332,-4.00%,-8.50%,333,-11.70%,-10.50%,134,-10.70%,-33.00%,13,1,-8,100.70%,-0.40%,1.60%
30080,11/1/2021,"$414,000",0.70%,11.30%,331,-0.30%,-8.10%,287,-13.80%,-16.30%,111,-17.20%,-35.80%,15,2,-6,100.20%,-0.50%,1.10%
30080,12/1/2021,"$400,000",-3.30%,9.10%,336,1.50%,-6.40%,244,-15.00%,-19.50%,97,-12.60%,-34.50%,19,4,-3,100.10%,-0.10%,1.00%
30080,1/1/2022,"$405,000",1.30%,11.00%,278,-17.30%,-10.90%,236,-3.30%,-9.20%,90,-7.20%,-23.70%,22,3,-3,100.20%,0.10%,1.40%
30080,2/1/2022,"$425,000",4.90%,16.40%,247,-11.20%,-18.50%,239,1.30%,-13.70%,73,-18.90%,-33.60%,20,-2,-6,101.00%,0.90%,2.10%
30080,3/1/2022,"$435,000",2.40%,18.70%,246,-0.40%,-21.20%,290,21.30%,-7.30%,83,13.70%,-1.20%,15,-5,-7,101.90%,0.90%,2.50%
30080,4/1/2022,"$430,000",-1.20%,14.60%,301,22.40%,-13.30%,330,13.80%,-10.10%,81,-2.40%,-22.90%,13,-3,-6,102.60%,0.70%,2.40%
30080,5/1/2022,"$430,000",0.00%,9.70%,339,12.60%,-6.10%,394,19.40%,-0.30%,107,32.10%,-8.50%,11,-2,-2,102.90%,0.20%,2.00%
30080,6/1/2022,"$436,000",1.40%,9.00%,355,4.70%,-5.30%,409,3.80%,-2.20%,140,30.80%,22.80%,10,-1,-3,103.30%,0.40%,2.30%
30080,7/1/2022,"$437,000",0.20%,8.60%,329,-7.30%,-15.20%,387,-5.40%,-4.00%,146,4.30%,17.70%,11,1,-1,102.50%,-0.80%,1.40%
30080,8/1/2022,"$427,000",-2.30%,8.00%,308,-6.40%,-20.00%,321,-17.10%,-19.30%,128,-12.30%,-12.30%,13,2,1,101.70%,-0.80%,0.70%
30080,9/1/2022,"$428,000",0.20%,6.70%,259,-15.90%,-25.10%,270,-15.90%,-28.40%,141,10.20%,-6.00%,18,5,6,100.10%,-1.60%,-1.10%
30312,2/1/2012,"$75,000",-0.70%,-26.70%,102,6.30%,41.70%,123,11.80%,-6.10%,171,1.20%,-34.20%,90,9,-31,95.80%,1.00%,2.10%
30312,3/1/2012,"$71,000",-6.10%,-23.40%,105,2.90%,45.80%,156,26.80%,9.90%,161,-5.80%,-41.70%,83,-7,-32,97.00%,1.20%,2.20%
30312,4/1/2012,"$110,000",56.00%,10.10%,117,11.40%,34.50%,156,0.00%,7.60%,159,-1.20%,-37.90%,88,5,-23,97.10%,0.10%,0.60%
30312,5/1/2012,"$119,000",8.60%,13.40%,130,11.10%,56.60%,145,-7.10%,-1.40%,154,-3.10%,-35.80%,64,-25,-57,97.80%,0.70%,1.80%
30312,6/1/2012,"$122,000",2.10%,30.50%,133,2.30%,27.90%,129,-11.00%,-8.50%,129,-16.20%,-43.40%,61,-3,-53,97.40%,-0.40%,0.50%
30312,7/1/2012,"$110,000",-9.90%,16.90%,128,-3.80%,30.60%,120,-7.00%,-17.20%,123,-4.70%,-47.40%,59,-2,-48,97.70%,0.40%,0.90%
30312,8/1/2012,"$103,000",-6.30%,31.30%,123,-3.90%,6.00%,119,-0.80%,-26.50%,115,-6.50%,-51.90%,57,-2,-39,96.20%,-1.50%,1.70%
30312,9/1/2012,"$109,000",6.00%,36.50%,109,-11.40%,7.90%,123,3.40%,-19.60%,123,7.00%,-45.60%,52,-5,-37,95.70%,-0.50%,1.80%
30312,10/1/2012,"$120,000",9.80%,62.00%,102,-6.40%,-12.80%,136,10.60%,-13.90%,133,8.10%,-42.70%,50,-2,-39,95.70%,-0.10%,1.20%
30312,11/1/2012,"$138,000",15.10%,35.40%,102,0.00%,6.30%,127,-6.60%,-7.30%,128,-3.80%,-44.80%,47,-3,-38,97.30%,1.70%,1.80%
30312,12/1/2012,"$164,000",18.70%,81.90%,98,-3.90%,-8.40%,108,-15.00%,-6.90%,117,-8.60%,-37.40%,47,0,-38,99.20%,1.80%,3.90%
30312,1/1/2013,"$169,000",3.20%,123.50%,95,-3.10%,-1.00%,99,-8.30%,-10.00%,117,0.00%,-30.80%,43,-4,-38,98.00%,-1.20%,3.20%
30312,2/1/2013,"$157,000",-7.10%,109.10%,91,-4.20%,-10.80%,118,19.20%,-4.10%,126,7.70%,-26.30%,53,10,-37,98.30%,0.30%,2.50%
30312,3/1/2013,"$157,000",0.00%,122.60%,92,1.10%,-12.40%,142,20.30%,-9.00%,116,-7.90%,-28.00%,67,14,-16,97.40%,-0.90%,0.40%
30312,4/1/2013,"$156,000",-0.40%,42.20%,114,23.90%,-2.60%,161,13.40%,3.20%,114,-1.70%,-28.30%,55,-13,-34,98.10%,0.70%,1.00%
30312,5/1/2013,"$182,000",16.50%,52.60%,130,14.00%,0.00%,166,3.10%,14.50%,120,5.30%,-22.10%,45,-10,-19,97.60%,-0.50%,-0.20%
30312,6/1/2013,"$165,000",-9.60%,35.00%,160,23.10%,20.30%,163,-1.80%,26.40%,128,6.70%,-0.80%,38,-7,-23,98.40%,0.80%,1.00%
30312,7/1/2013,"$180,000",9.30%,63.80%,145,-9.40%,13.30%,147,-9.80%,22.50%,121,-5.50%,-1.60%,31,-7,-28,99.20%,0.80%,1.50%
30312,8/1/2013,"$180,000",0.00%,74.80%,125,-13.80%,1.60%,144,-2.00%,21.00%,121,0.00%,5.20%,25,-6,-32,99.60%,0.40%,3.40%
30312,9/1/2013,"$209,000",16.10%,91.40%,106,-15.20%,-2.80%,141,-2.10%,14.60%,113,-6.60%,-8.10%,25,0,-27,99.00%,-0.70%,3.20%
30312,10/1/2013,"$201,000",-3.80%,67.60%,113,6.60%,10.80%,145,2.80%,6.60%,120,6.20%,-9.80%,30,5,-20,99.40%,0.40%,3.70%
30312,11/1/2013,"$190,000",-5.50%,37.70%,109,-3.50%,6.90%,121,-16.60%,-4.70%,107,-10.80%,-16.40%,30,0,-17,99.60%,0.20%,2.30%
30312,12/1/2013,"$162,000",-14.60%,-0.90%,102,-6.40%,4.10%,104,-14.00%,-3.70%,110,2.80%,-6.00%,38,8,-9,99.40%,-0.30%,0.20%
30312,1/1/2014,"$186,000",14.60%,10.10%,79,-22.50%,-16.80%,95,-8.70%,-4.00%,109,-0.90%,-6.80%,39,1,-5,98.50%,-0.90%,0.50%
30312,2/1/2014,"$160,000",-14.00%,1.90%,79,0.00%,-13.20%,100,5.30%,-15.30%,109,0.00%,-13.50%,43,5,-10,97.80%,-0.70%,-0.50%
30312,3/1/2014,"$185,000",15.60%,17.90%,79,0.00%,-14.10%,120,20.00%,-15.50%,95,-12.80%,-18.10%,54,11,-14,97.40%,-0.40%,0.00%
30312,4/1/2014,"$190,000",2.70%,21.50%,107,35.40%,-6.10%,140,16.70%,-13.00%,103,8.40%,-9.60%,40,-14,-15,98.00%,0.60%,-0.20%
30312,5/1/2014,"$190,000",-0.10%,4.20%,129,20.60%,-0.80%,165,17.90%,-0.60%,112,8.70%,-6.70%,38,-3,-8,98.70%,0.70%,1.10%
30312,6/1/2014,"$191,000",0.60%,15.90%,133,3.10%,-16.90%,161,-2.40%,-1.20%,117,4.50%,-8.60%,35,-3,-3,99.20%,0.50%,0.80%
30312,7/1/2014,"$190,000",-0.50%,5.50%,128,-3.80%,-11.70%,129,-19.90%,-12.20%,108,-7.70%,-10.70%,29,-6,-2,98.60%,-0.70%,-0.70%
30312,8/1/2014,"$204,000",7.40%,13.30%,113,-11.70%,-9.60%,122,-5.40%,-15.30%,112,3.70%,-7.40%,30,1,5,98.00%,-0.50%,-1.60%
30312,9/1/2014,"$210,000",2.90%,0.50%,105,-7.10%,-0.90%,125,2.50%,-11.30%,118,5.40%,4.40%,29,-1,4,97.90%,-0.20%,-1.10%
30312,10/1/2014,"$208,000",-0.70%,3.70%,100,-4.80%,-11.50%,145,16.00%,0.00%,120,1.70%,0.00%,31,2,1,97.60%,-0.20%,-1.80%
30312,11/1/2014,"$240,000",14.90%,26.10%,100,0.00%,-8.30%,122,-15.90%,0.80%,114,-5.00%,6.50%,26,-5,-4,98.40%,0.80%,-1.20%
30312,12/1/2014,"$246,000",2.90%,51.90%,108,8.00%,5.90%,110,-9.80%,5.80%,112,-1.80%,1.80%,38,12,-1,98.80%,0.40%,-0.50%
30312,1/1/2015,"$244,000",-0.80%,31.40%,94,-13.00%,19.00%,109,-0.90%,14.70%,97,-13.40%,-11.00%,47,9,8,98.90%,0.00%,0.40%
30312,2/1/2015,"$223,000",-9.00%,39.10%,107,13.80%,35.40%,137,25.70%,37.00%,107,10.30%,-1.80%,62,16,19,97.20%,-1.70%,-0.60%
30312,3/1/2015,"$225,000",1.10%,21.60%,119,11.20%,50.60%,163,19.00%,35.80%,107,0.00%,12.60%,45,-17,-9,97.00%,-0.20%,-0.40%
30312,4/1/2015,"$218,000",-3.00%,14.90%,146,22.70%,36.40%,177,8.60%,26.40%,107,0.00%,3.90%,37,-8,-3,97.90%,0.90%,-0.10%
30312,5/1/2015,"$231,000",5.80%,21.60%,148,1.40%,14.70%,169,-4.50%,2.40%,120,12.10%,7.10%,25,-13,-13,98.90%,1.00%,0.20%
30312,6/1/2015,"$239,000",3.70%,25.40%,140,-5.40%,5.30%,159,-5.90%,-1.20%,114,-5.00%,-2.60%,22,-3,-14,99.50%,0.60%,0.30%
30312,7/1/2015,"$230,000",-3.90%,21.10%,131,-6.40%,2.30%,163,2.50%,26.40%,120,5.30%,11.10%,24,3,-5,99.30%,-0.20%,0.70%
30312,8/1/2015,"$228,000",-1.10%,11.50%,126,-3.80%,11.50%,186,14.10%,52.50%,137,14.20%,22.30%,31,7,1,99.10%,-0.20%,1.10%
30312,9/1/2015,"$214,000",-6.20%,1.70%,138,9.50%,31.40%,180,-3.20%,44.00%,127,-7.30%,7.60%,34,3,5,98.60%,-0.50%,0.70%
30312,10/1/2015,"$226,000",5.90%,8.40%,141,2.20%,41.00%,159,-11.70%,9.70%,124,-2.40%,3.30%,37,3,6,98.00%,-0.50%,0.40%
30312,11/1/2015,"$235,000",4.00%,-1.90%,128,-9.20%,28.00%,124,-22.00%,1.60%,121,-2.40%,6.10%,40,3,14,97.90%,-0.10%,-0.60%
30312,12/1/2015,"$230,000",-2.10%,-6.70%,115,-10.20%,6.50%,119,-4.00%,8.20%,112,-7.40%,0.00%,54,14,16,96.60%,-1.30%,-2.30%
30312,1/1/2016,"$223,000",-3.00%,-8.80%,99,-13.90%,5.30%,125,5.00%,14.70%,109,-2.70%,12.40%,54,0,7,96.70%,0.10%,-2.20%
30312,2/1/2016,"$223,000",0.00%,0.20%,113,14.10%,5.60%,137,9.60%,0.00%,111,1.80%,3.70%,58,5,-4,96.30%,-0.40%,-0.90%
30312,3/1/2016,"$236,000",5.70%,4.80%,118,4.40%,-0.80%,177,29.20%,8.60%,103,-7.20%,-3.70%,46,-12,1,97.90%,1.60%,1.00%
30312,4/1/2016,"$234,000",-0.70%,7.20%,151,28.00%,3.40%,188,6.20%,6.20%,100,-2.90%,-6.50%,34,-12,-3,99.00%,1.00%,1.10%
30312,5/1/2016,"$240,000",2.50%,3.90%,168,11.30%,13.50%,195,3.70%,15.40%,109,9.00%,-9.20%,19,-15,-6,100.00%,1.10%,1.10%
30312,6/1/2016,"$258,000",7.30%,7.50%,161,-4.20%,15.00%,174,-10.80%,9.40%,126,15.60%,10.50%,17,-2,-5,100.00%,0.00%,0.50%
30312,7/1/2016,"$270,000",4.90%,17.40%,151,-6.20%,15.30%,166,-4.60%,1.80%,123,-2.40%,2.50%,26,9,2,99.60%,-0.50%,0.30%
30312,8/1/2016,"$274,000",1.50%,20.40%,137,-9.30%,8.70%,179,7.80%,-3.80%,136,10.60%,-0.70%,31,5,0,98.90%,-0.70%,-0.20%
30312,9/1/2016,"$262,000",-4.40%,22.70%,142,3.60%,2.90%,155,-13.40%,-13.90%,103,-24.30%,-18.90%,31,0,-3,98.60%,-0.30%,0.00%
30312,10/1/2016,"$279,000",6.50%,23.50%,141,-0.70%,0.00%,148,-4.50%,-6.90%,104,1.00%,-16.10%,31,0,-6,98.80%,0.20%,0.80%
30312,11/1/2016,"$278,000",-0.50%,18.10%,142,0.70%,10.90%,111,-25.00%,-10.50%,86,-17.30%,-28.90%,35,4,-6,98.80%,0.00%,0.90%
30312,12/1/2016,"$298,000",7.20%,29.30%,139,-2.10%,20.90%,98,-11.70%,-17.60%,68,-20.90%,-39.30%,38,4,-16,100.10%,1.30%,3.60%
30312,1/1/2017,"$322,000",8.30%,44.50%,106,-23.70%,7.10%,91,-7.10%,-27.20%,74,8.80%,-32.10%,40,2,-14,100.30%,0.20%,3.70%
30312,2/1/2017,"$267,000",-17.10%,19.80%,98,-7.50%,-13.30%,111,22.00%,-19.00%,86,16.20%,-22.50%,40,1,-18,100.90%,0.60%,4.60%
30312,3/1/2017,"$270,000",1.10%,14.50%,96,-2.00%,-18.60%,138,24.30%,-22.00%,78,-9.30%,-24.30%,36,-5,-11,99.50%,-1.40%,1.60%
30312,4/1/2017,"$268,000",-0.60%,14.60%,114,18.80%,-24.50%,151,9.40%,-19.70%,84,7.70%,-16.00%,33,-3,-1,99.60%,0.10%,0.70%
30312,5/1/2017,"$290,000",8.10%,20.90%,128,12.30%,-23.80%,151,0.00%,-22.60%,85,1.20%,-22.00%,21,-12,2,99.40%,-0.20%,-0.60%
30312,6/1/2017,"$288,000",-0.90%,11.70%,135,5.50%,-16.10%,175,15.90%,0.60%,101,18.80%,-19.80%,19,-2,2,99.10%,-0.30%,-0.90%
30312,7/1/2017,"$293,000",1.70%,8.30%,148,9.60%,-2.00%,174,-0.60%,4.80%,94,-6.90%,-23.60%,21,2,-5,99.00%,-0.10%,-0.60%
30312,8/1/2017,"$295,000",0.90%,7.70%,157,6.10%,14.60%,179,2.90%,0.00%,89,-5.30%,-34.60%,24,3,-7,98.60%,-0.50%,-0.30%
